"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Suzuki, Seiya","673548","2023","583","20",22.3,10.1,36.5,10.5,48,"102.157061122","95.610201816",21.3,40.9
"Harper, Bryce","547180","2023","546","21",21.8,14.7,36.8,15.2,46.8,"103.839812899","96.235486154",33.2,51.4
"Garcia, Maikel","672580","2023","515","4",22.3,7.4,36.9,3.9,50.6,"101.538604663","95.500565408",19.5,43.1
"Happ, Ian","664023","2023","691","21",22.1,14.3,36.7,9,39,"99.676936326","94.121891884",25.2,44.4
"Jung, Josh","673962","2023","515","23",29.3,5.8,41.9,11.9,47.4,"101.620526098","95.373200793",29.7,51.8
"Arenado, Nolan","571448","2023","612","26",16.5,6.7,33,7.3,38.1,"99.311427863","93.760489679",20.2,48.5
"McKinstry, Zach","656716","2023","518","9",21.8,8.5,37.1,7.6,33.5,"97.726678239","92.940971652",20.4,47.3
"Estrada, Thairo","642731","2023","530","14",22.6,4.2,34.7,4.8,33.7,"97.898139565","92.983630679",21.1,51.7
"Profar, Jurickson","595777","2023","521","9",17.3,9.6,37.7,4,31.8,"97.18982877","92.606877674",20,47.2
"Turner, Justin","457759","2023","626","23",17.6,8.1,36.8,5.7,39,"98.567368238","93.587032225",17.5,45
"Torkelson, Spencer","679529","2023","684","31",25,9.8,33.2,14.1,50.9,"102.691928356","96.002045502",24.7,46.2
"Turner, Trea","607208","2023","691","26",21.7,6.5,36.1,8.4,42.2,"100.292342286","94.550003245",29.6,53.1
"Drury, Brandon","592273","2023","523","26",26,4.8,35,11,46.3,"101.80875267","95.132794574",30.2,51.6
"De La Cruz, Bryan","650559","2023","626","19",22.7,6.4,41,8.8,42.5,"100.272527091","94.400399818",28.7,50.1
"Tucker, Kyle","663656","2023","674","29",13.6,11.9,35.4,10.6,45.9,"100.798373008","94.831132546",18.5,47
"Chapman, Matt","656305","2023","581","17",28.4,10.7,32.4,17.1,56.4,"103.539639884","96.813201603",31.1,43.3
"Henderson, Gunnar","683002","2023","622","28",25.6,9,32.9,11.4,52,"102.730226238","96.062562903",26.4,46.8
"Arraez, Luis","650333","2023","617","10",5.5,5.7,44.7,3.5,25.7,"95.658900664","92.009454214",7.8,51
"McMahon, Ryan","641857","2023","627","23",31.6,10.8,39.4,11.4,44.2,"102.017798324","95.343043101",32.2,47.4
"Hernández, Teoscar","606192","2023","678","26",31.1,5.6,35.2,13.8,49.4,"103.014681476","96.109592578",35.8,53.6
"Devers, Rafael","646240","2023","656","33",19.2,9.5,30,12.7,55.1,"104.483705833","97.182864659",26.1,52.6
"Varsho, Daulton","662139","2023","581","20",23.2,7.7,34.3,7.3,36.1,"99.853027513","94.005486074",24.5,50.1
"Díaz, Yandy","650490","2023","600","22",15.7,10.8,30.5,9.5,54,"104.285177685","97.074568747",18.3,42.6
"Machado, Manny","592518","2023","601","30",18.1,8.3,30.2,10.5,45.9,"102.375377","95.525381708",23.9,49.3
"Rosario, Amed","642708","2023","545","6",18.2,5.3,33.8,3.4,39.4,"99.501582705","93.941784576",23.1,53.4
"Vaughn, Andrew","683734","2023","615","21",21,5.9,30.3,8.4,46.5,"101.661403","95.348849294",24.1,47.5
"Burger, Jake","669394","2023","540","34",27.6,5.9,33.4,16.7,49.6,"105.009725862","96.989580029",34.1,54
"Walker, Christian","572233","2023","661","33",19.2,9.4,32.6,11.4,40.4,"100.601281422","94.397470475",26.4,48.6
"Soto, Juan","665742","2023","708","35",18.2,18.6,28.5,13,55.3,"104.484350409","97.215905977",20.4,35.8
"Nootbaar, Lars","663457","2023","503","14",19.7,14.3,30.8,8.8,37.8,"100.334219085","94.369985457",18.2,35.5
"Melendez Jr., MJ","669004","2023","602","16",28.2,10.3,34.6,11.4,49.6,"101.434950217","95.609327411",34.4,47.9
"Benintendi, Andrew","643217","2023","621","5",14.3,8.4,40.9,2.9,27,"95.498075212","91.757391695",19.3,49
"Straw, Myles","664702","2023","518","1",18.7,8.1,34,0.5,23.3,"95.141368287","91.593212265",14,44
"Suwinski, Jack","669261","2023","534","26",32.2,14,34.2,15.7,43.4,"102.173377122","95.316292734",30.1,39
"Adames, Willy","642715","2023","638","24",25.9,11.1,35,12.4,36.5,"99.086365635","93.664258959",31,50
"Renfroe, Hunter","592669","2023","548","20",22.8,8,29.5,6.1,39.1,"100.508778984","94.37524563",26.4,50.8
"Gurriel Jr., Lourdes","666971","2023","592","24",17.4,5.6,35.3,8.4,46,"99.859212133","94.368560668",18.7,49.1
"Acuña Jr., Ronald","660670","2023","735","41",11.4,10.9,33.6,15.3,55.2,"106.368689571","98.157029125",18.7,46.2
"Arozarena, Randy","668227","2023","654","23",23.9,12.2,31.8,12.3,48.3,"102.055211709","95.651873174",29.1,43
"Torres, Gleyber","650402","2023","672","25",14.6,10,37.3,7.9,40.3,"99.649800996","94.055057585",21.8,46.8
"Stott, Bryson","681082","2023","640","15",15.6,6.1,36.4,4.7,35.2,"97.379136163","92.802445092",15.1,45
"Soler, Jorge","624585","2023","580","36",24.3,11.4,36.5,15,48,"103.053956467","95.950783079",27.6,44.1
"Robert Jr., Luis","673357","2023","595","38",28.9,5,38,15.4,42.3,"101.844478191","95.05043424",33.5,58.3
"Smith, Dominic","642086","2023","586","12",15.5,8,37,6.6,30.8,"97.225088721","92.631850959",19.9,49
"Canha, Mark","592192","2023","507","11",15.6,9.7,30.9,4.7,36.7,"98.959607624","93.632062936",18.3,41.6
"Ramírez, José","608070","2023","691","24",10.6,10.6,36.8,7,40.4,"100.07775","94.35370079",15.6,46.6
"Schwarber, Kyle","656941","2023","720","47",29.9,17.5,34.3,16.4,48.8,"103.398490108","96.18179379",31.5,37.7
"India, Jonathan","663697","2023","529","17",20.6,9.8,37.2,7.7,38.6,"99.676934286","94.0396352",22,38.6
"Bregman, Alex","608324","2023","724","25",12,12.7,35.8,5.4,38.2,"98.071537732","93.248960689",14.1,38.7
"Santana, Carlos","467793","2023","619","23",16.8,10.5,31.3,6.7,36.4,"99.367236","93.791213073",22.1,45.3
"Harris II, Michael","671739","2023","539","18",18.7,4.6,34.6,10,48.5,"103.586789505","96.131496609",24.4,52.9
"Thomas, Lane","657041","2023","682","28",25.8,5.3,36.8,9.6,40.7,"100.191573957","94.319062004",23,43.6
"Davis, J.D.","605204","2023","546","18",27.8,9.5,33.5,9.6,45.2,"101.437064311","95.258851108",34,53.1
"Witt Jr., Bobby","677951","2023","694","30",17.4,5.8,34.4,11.5,45.6,"102.080606768","95.411820457",22.8,50.5
"Giménez, Andrés","665926","2023","616","15",18.2,5.2,29.9,5.5,27,"96.663934128","92.344201908",25,54.6
"Semien, Marcus","543760","2023","753","29",14.6,9.6,37.5,6.5,37,"98.08417844","93.189258191",18,47.1
"Correa, Carlos","621043","2023","580","18",22.6,10.2,31.1,9.6,45.9,"102.481230628","95.635527984",25.1,43.6
"Paredes, Isaac","670623","2023","571","31",18.2,10.2,32.4,5.9,28.5,"96.372683866","92.205361059",18.2,45.6
"Candelario, Jeimer","600869","2023","576","22",22,9.2,36.9,7.9,36.4,"99.185208","93.708029184",24.2,47.4
"Santander, Anthony","623993","2023","656","28",23.2,8.4,33,10.2,46,"101.732013378","95.319994041",23.5,49
"Meneses, Joey","608841","2023","657","13",19.8,5.8,32.9,5.4,41.7,"99.929364091","94.237468244",23.6,47.6
"García, Adolis","666969","2023","632","39",27.7,10.3,36,16.1,49.7,"102.949539534","96.163808523",31.6,48.6
"Friedl Jr., TJ","670770","2023","556","18",16.2,8.5,32,3.2,27.6,"96.368739947","92.196228515",18.2,42.2
"Bellinger, Cody","641355","2023","556","26",15.6,7.2,38,6.1,31.4,"97.661544057","92.874372388",20.1,49.9
"Swanson, Dansby","621020","2023","638","22",24.1,10.3,35.1,10.9,39.7,"99.817409223","94.10753236",28.7,47.3
"Abreu, José","547989","2023","594","18",21.9,7.1,32.5,8.7,41.6,"100.821833606","94.59770588",26.4,50.1
"Bichette, Bo","666182","2023","601","20",19.1,4.5,38.3,9.6,44.9,"101.736681894","95.184330552",21.1,56.6
"Outman, James","681546","2023","567","23",31.9,12,38.2,11.1,39.9,"99.962159145","94.027798454",36.6,46
"Springer III, George","543807","2023","683","21",18.3,8.8,32.2,7.7,39.9,"100.34851102","94.297792755",22.3,49.3
"Hayes, Ke'Bryan","663647","2023","525","15",19.8,5.3,34.1,7.4,48.3,"101.67326359","95.450846324",21.2,45.6
"Yelich, Christian","592885","2023","632","19",22.2,12.3,30.4,9.2,50.1,"103.18368722","96.096251589",26.8,45
"Reynolds, Bryan","668804","2023","640","24",21.6,8.3,36.9,11.1,47.3,"101.022834344","94.957065034",28.2,47.4
"Díaz, Elias","553869","2023","526","14",22.4,6.5,31.2,6.2,38.4,"100.035107459","94.071648482",28.4,54.8
"Alonso, Pete","624413","2023","658","46",22.9,9.9,32.3,14.7,40.1,"102.342134502","95.253955701",26.2,43.7
"Crawford, J.P.","641487","2023","638","19",19.6,14.7,35.3,4.8,36.2,"99.143101569","93.649442623",18.6,38.6
"Bell, Josh","605137","2023","617","22",21.7,10.2,31.3,10.1,43,"101.611186796","94.955559951",25.8,47.7
"Yoshida, Masataka","807799","2023","580","15",14,5.9,29.5,6.6,40.6,"100.123813246","94.28056556",18.3,43.3
"Seager, Corey","608369","2023","536","33",16.4,9.1,38,15.2,53.2,"103.543493485","96.785948962",25,55.1
